,HomeTeam,AwayTeam,FTR,PredictedFTR
178,Tottenham,Arsenal,NH,H
179,Coventry,Southampton,NH,NH
180,Charlton,Everton,H,NH
181,Chelsea,Bradford,H,NH
182,Derby,Newcastle,H,NH
183,Leeds,Aston Villa,NH,NH
184,Leicester,West Ham,H,H
185,Liverpool,Arsenal,H,H
186,Man United,Ipswich,H,NH
187,Sunderland,Man City,H,H
188,Tottenham,Middlesbrough,NH,NH
189,Arsenal,Leicester,H,NH
190,Aston Villa,Man United,NH,NH
191,Bradford,Sunderland,NH,NH
192,Everton,Coventry,NH,H
193,Ipswich,Chelsea,NH,H
194,Man City,Derby,NH,NH
195,Middlesbrough,Liverpool,H,H
196,Newcastle,Leeds,H,NH
197,West Ham,Charlton,H,NH
198,Southampton,Tottenham,H,NH
199,Arsenal,Sunderland,NH,NH
200,Ipswich,Tottenham,H,H
201,Man City,Charlton,NH,NH
202,Middlesbrough,Coventry,NH,NH
203,Newcastle,Man United,NH,H
204,Southampton,Derby,H,NH
205,Charlton,Arsenal,H,NH
206,Chelsea,Aston Villa,H,NH
207,Coventry,Man City,NH,NH
208,Derby,Everton,H,NH
209,Leeds,Middlesbrough,NH,H
210,Leicester,Bradford,NH,NH
211,Liverpool,Southampton,H,H
212,Man United,West Ham,H,H
213,Sunderland,Ipswich,H,H
214,Tottenham,Newcastle,H,NH
215,Arsenal,Chelsea,NH,NH
216,Aston Villa,Liverpool,NH,NH
217,Bradford,Man United,NH,NH
218,Everton,Tottenham,NH,NH
219,Man City,Leeds,NH,H
220,Middlesbrough,Derby,H,H
221,Newcastle,Coventry,H,H
222,Southampton,Charlton,NH,H
223,West Ham,Sunderland,NH,NH
224,Ipswich,Leicester,H,H
225,Chelsea,Ipswich,H,NH
226,Coventry,Everton,NH,H
227,Derby,Man City,NH,H
228,Leeds,Newcastle,NH,H
229,Leicester,Arsenal,NH,NH
230,Liverpool,Middlesbrough,NH,H
231,Man United,Aston Villa,H,NH
232,Tottenham,Southampton,NH,H
233,Sunderland,Bradford,NH,NH
234,Charlton,West Ham,NH,H
235,Aston Villa,Leeds,NH,H
236,Arsenal,Bradford,H,H
237,Charlton,Derby,H,NH
238,Chelsea,Newcastle,H,H
239,Everton,Middlesbrough,NH,NH
240,Leeds,Coventry,H,H
241,Man City,Liverpool,NH,NH
242,Southampton,Leicester,H,H
243,Sunderland,Man United,NH,NH
244,West Ham,Tottenham,NH,NH
245,Bradford,Aston Villa,NH,NH
246,Coventry,Arsenal,NH,H
247,Derby,Sunderland,H,NH
248,Ipswich,Leeds,NH,H
249,Leicester,Chelsea,H,NH
250,Liverpool,West Ham,H,H
251,Man United,Everton,H,H
252,Middlesbrough,Man City,NH,H
253,Tottenham,Charlton,NH,NH
254,Everton,Leeds,NH,NH
255,Arsenal,Ipswich,H,NH
256,Aston Villa,Middlesbrough,NH,NH
257,Chelsea,Man United,NH,H
258,Everton,Leicester,H,H
259,Leeds,Derby,NH,NH
260,Man City,Tottenham,NH,H
261,Southampton,Bradford,H,H
262,Sunderland,Liverpool,NH,H
263,Charlton,Newcastle,H,NH
264,West Ham,Coventry,NH,NH
265,Bradford,West Ham,NH,NH
266,Coventry,Charlton,NH,H
267,Derby,Aston Villa,H,H
268,Ipswich,Everton,H,H
269,Leicester,Sunderland,H,NH
270,Middlesbrough,Southampton,NH,NH
271,Newcastle,Man City,NH,H
272,Tottenham,Leeds,NH,H
273,Man United,Arsenal,H,NH
274,Arsenal,West Ham,H,NH
275,Coventry,Chelsea,NH,H
276,Derby,Tottenham,H,H
277,Everton,Newcastle,NH,NH
278,Leeds,Man United,NH,NH
279,Leicester,Liverpool,H,H
280,Man City,Southampton,NH,NH
281,Middlesbrough,Charlton,NH,NH
282,Ipswich,Bradford,H,NH
283,Sunderland,Aston Villa,NH,NH
284,West Ham,Chelsea,NH,NH
285,Aston Villa,Ipswich,H,H
286,Bradford,Man City,NH,NH
287,Charlton,Leeds,NH,NH
288,Chelsea,Sunderland,NH,H
289,Man United,Leicester,H,NH
290,Newcastle,Middlesbrough,NH,NH
291,Southampton,Everton,H,H
292,Tottenham,Coventry,H,NH
293,West Ham,Ipswich,NH,H
294,Aston Villa,Arsenal,NH,H
295,Liverpool,Derby,NH,H
296,Arsenal,Tottenham,H,NH
297,Bradford,Newcastle,NH,H
298,Chelsea,Middlesbrough,H,NH
299,Coventry,Derby,H,H
300,Liverpool,Man United,H,NH
301,Man City,Aston Villa,NH,H
302,Sunderland,Leeds,NH,NH
303,West Ham,Everton,NH,NH
