,HomeTeam,AwayTeam,FTR,PredictedFTR
1623,Everton,Aston Villa,NH,
1624,Fulham,Tottenham,H,
1625,Portsmouth,Man United,H,
1626,West Brom,Chelsea,NH,
1627,Bolton,Newcastle,H,
1628,Man City,Norwich,NH,
1629,Aston Villa,Portsmouth,H,
1630,Chelsea,Everton,H,
1631,Crystal Palace,Arsenal,NH,
1632,Liverpool,Birmingham,NH,
1633,Norwich,Blackburn,NH,
1634,Southampton,West Brom,NH,
1635,Tottenham,Charlton,NH,
1636,Man United,Man City,NH,
1637,Middlesbrough,Bolton,NH,
1638,Newcastle,Fulham,NH,
1639,Birmingham,Everton,NH,
1640,Bolton,Aston Villa,NH,
1641,Charlton,Norwich,H,
1642,Fulham,Chelsea,NH,
1643,Liverpool,Crystal Palace,H,
1644,Man City,Blackburn,NH,
1645,Southampton,Portsmouth,H,
1646,Tottenham,Arsenal,NH,
1647,Newcastle,Man United,NH,
1648,West Brom,Middlesbrough,NH,
1649,Arsenal,West Brom,NH,
1650,Chelsea,Bolton,NH,
1651,Crystal Palace,Newcastle,NH,
1652,Everton,Fulham,H,
1653,Man United,Charlton,H,
1654,Middlesbrough,Liverpool,H,
1655,Norwich,Southampton,H,
1656,Portsmouth,Man City,NH,
1657,Blackburn,Birmingham,NH,
1658,Aston Villa,Tottenham,H,
1659,Birmingham,Norwich,NH,
1660,Bolton,Portsmouth,NH,
1661,Charlton,Chelsea,NH,
1662,Fulham,Blackburn,NH,
1663,Man City,Aston Villa,H,
1664,Southampton,Crystal Palace,NH,
1665,West Brom,Man United,NH,
1666,Liverpool,Arsenal,H,
1667,Newcastle,Everton,NH,
1668,Tottenham,Middlesbrough,H,
1669,Arsenal,Birmingham,H,
1670,Aston Villa,Liverpool,NH,
1671,Blackburn,Tottenham,NH,
1672,Chelsea,Newcastle,H,
1673,Everton,Bolton,H,
1674,Man United,Southampton,H,
1675,Norwich,Fulham,NH,
1676,Portsmouth,West Brom,H,
1677,Crystal Palace,Charlton,NH,
1678,Middlesbrough,Man City,H,
1679,Crystal Palace,Blackburn,NH,
1680,Everton,Liverpool,H,
1681,Man City,Tottenham,NH,
1682,Newcastle,Portsmouth,NH,
1683,Norwich,Bolton,H,
1684,Southampton,Middlesbrough,NH,
1685,West Brom,Charlton,NH,
1686,Arsenal,Chelsea,NH,
1687,Aston Villa,Birmingham,NH,
1688,Fulham,Man United,NH,
1689,Liverpool,Portsmouth,NH,
1690,Birmingham,West Brom,H,
1691,Blackburn,Everton,NH,
1692,Bolton,Man City,NH,
1693,Chelsea,Norwich,H,
1694,Man United,Crystal Palace,H,
1695,Middlesbrough,Aston Villa,H,
1696,Tottenham,Southampton,H,
1697,Liverpool,Newcastle,H,
1698,Portsmouth,Arsenal,NH,
1699,Charlton,Fulham,H,
1700,Arsenal,Fulham,H,
1701,Birmingham,Middlesbrough,H,
1702,Blackburn,Newcastle,NH,
1703,Chelsea,Aston Villa,H,
1704,Crystal Palace,Portsmouth,NH,
1705,Everton,Man City,H,
1706,Man United,Bolton,H,
1707,Norwich,Tottenham,NH,
1708,Southampton,Charlton,NH,
1709,West Brom,Liverpool,NH,
1710,Aston Villa,Man United,NH,
1711,Bolton,Blackburn,NH,
1712,Charlton,Everton,H,
1713,Fulham,Birmingham,NH,
1714,Liverpool,Southampton,H,
1715,Man City,West Brom,NH,
1716,Middlesbrough,Norwich,H,
1717,Portsmouth,Chelsea,NH,
1718,Tottenham,Crystal Palace,NH,
1719,Newcastle,Arsenal,NH,
1720,Aston Villa,Blackburn,H,
1721,Bolton,West Brom,NH,
1722,Charlton,Arsenal,NH,
1723,Fulham,Crystal Palace,H,
1724,Liverpool,Chelsea,NH,
1725,Man City,Southampton,H,
1726,Middlesbrough,Man United,NH,
1727,Newcastle,Birmingham,H,
1728,Portsmouth,Norwich,NH,
1729,Tottenham,Everton,H,
1730,Blackburn,Charlton,H,
1731,Crystal Palace,Aston Villa,H,
1732,Norwich,Liverpool,NH,
1733,West Brom,Newcastle,NH,
1734,Arsenal,Man City,NH,
1735,Birmingham,Bolton,NH,
1736,Chelsea,Middlesbrough,H,
1737,Everton,Portsmouth,H,
1738,Man United,Tottenham,NH,
1739,Southampton,Fulham,NH,
1740,Aston Villa,Norwich,H,
1741,Bolton,Arsenal,H,
1742,Charlton,Birmingham,H,
1743,Liverpool,Man United,NH,
1744,Man City,Crystal Palace,H,
1745,Newcastle,Southampton,H,
1746,Portsmouth,Blackburn,NH,
1747,Tottenham,Chelsea,NH,
1748,Fulham,West Brom,H,
1749,Middlesbrough,Everton,NH,
1750,Birmingham,Fulham,NH,
1751,Chelsea,Portsmouth,H,
1752,Crystal Palace,Tottenham,H,
1753,Everton,Charlton,NH,
1754,Man United,Aston Villa,H,
1755,Norwich,Middlesbrough,NH,
1756,Southampton,Liverpool,H,
1757,West Brom,Man City,H,
1758,Arsenal,Newcastle,H,
1759,Blackburn,Bolton,NH,
1760,Arsenal,Man United,NH,
1761,Bolton,Tottenham,H,
1762,Charlton,Liverpool,NH,
1763,Portsmouth,Middlesbrough,H,
1764,West Brom,Crystal Palace,NH,
1765,Birmingham,Southampton,H,
1766,Blackburn,Chelsea,NH,
1767,Everton,Norwich,H,
1768,Fulham,Aston Villa,NH,
1769,Man City,Newcastle,NH,
1770,Aston Villa,Arsenal,NH,
1771,Crystal Palace,Bolton,NH,
1772,Liverpool,Fulham,H,
1773,Man United,Birmingham,H,
1774,Middlesbrough,Blackburn,H,
1775,Newcastle,Charlton,NH,
1776,Norwich,West Brom,H,
1777,Tottenham,Portsmouth,H,
1778,Chelsea,Man City,NH,
1779,Southampton,Everton,NH,
1780,Birmingham,Liverpool,H,
1781,Blackburn,Norwich,H,
1782,Bolton,Middlesbrough,NH,
1783,Everton,Chelsea,NH,
1784,Portsmouth,Aston Villa,NH,
1785,Man City,Man United,NH,
1786,Arsenal,Crystal Palace,H,
1787,West Brom,Southampton,NH,
1788,Aston Villa,Everton,NH,
1789,Crystal Palace,Birmingham,H,
1790,Man United,Portsmouth,H,
1791,Southampton,Arsenal,NH,
1792,Tottenham,Fulham,H,
1793,Middlesbrough,Charlton,NH,
1794,Newcastle,Bolton,H,
1795,Norwich,Man City,NH,
1796,Arsenal,Portsmouth,H,
1797,Aston Villa,Middlesbrough,H,
1798,Crystal Palace,Man United,NH,
1799,Fulham,Charlton,NH,
1800,Newcastle,Liverpool,H,
1801,Norwich,Chelsea,NH,
1802,Southampton,Tottenham,H,
1803,Everton,Blackburn,NH,
1804,West Brom,Birmingham,H,
1805,Man City,Bolton,NH,
1806,Chelsea,West Brom,H,
1807,Charlton,Tottenham,H,
1808,Liverpool,Blackburn,NH,
1809,Blackburn,Arsenal,NH,
1810,Bolton,Norwich,H,
1811,Charlton,West Brom,NH,
1812,Chelsea,Crystal Palace,H,
1813,Man United,Fulham,H,
1814,Portsmouth,Newcastle,NH,
1815,Tottenham,Man City,H,
1816,Birmingham,Aston Villa,H,
1817,Liverpool,Everton,H,
1818,Middlesbrough,Southampton,NH,
1819,Arsenal,Norwich,H,
1820,Birmingham,Tottenham,NH,
1821,Charlton,Man City,NH,
1822,Crystal Palace,Middlesbrough,NH,
1823,Liverpool,Bolton,H,
1824,Man United,Blackburn,NH,
1825,Newcastle,Aston Villa,NH,
1826,Southampton,Chelsea,NH,
1827,Fulham,Portsmouth,H,
1828,West Brom,Everton,H,
1829,Blackburn,Southampton,H,
1830,Bolton,Fulham,H,
1831,Chelsea,Birmingham,NH,
1832,Man City,Liverpool,H,
1833,Middlesbrough,Arsenal,NH,
1834,Norwich,Man United,H,
1835,Portsmouth,Charlton,H,
1836,Aston Villa,West Brom,NH,
1837,Everton,Crystal Palace,H,
1838,Tottenham,Newcastle,H,
1839,Birmingham,Portsmouth,NH,
1840,Charlton,Bolton,NH,
1841,Crystal Palace,Norwich,NH,
1842,Fulham,Man City,NH,
1843,Liverpool,Tottenham,NH,
1844,Southampton,Aston Villa,NH,
1845,Bolton,Southampton,NH,
1846,Middlesbrough,Fulham,NH,
1847,Aston Villa,Charlton,NH,
1848,Blackburn,Crystal Palace,H,
1849,Chelsea,Arsenal,NH,
1850,Everton,Man United,H,
1851,Man City,Birmingham,H,
1852,Norwich,Newcastle,H,
1853,Portsmouth,Liverpool,NH,
1854,Tottenham,West Brom,NH,
1855,Aston Villa,Bolton,NH,
1856,Blackburn,Man City,NH,
1857,Chelsea,Fulham,H,
1858,Crystal Palace,Liverpool,H,
1859,Everton,Birmingham,NH,
1860,Middlesbrough,West Brom,H,
1861,Norwich,Charlton,H,
1862,Man United,Newcastle,H,
1863,Portsmouth,Southampton,H,
1864,Arsenal,Tottenham,H,
1865,West Brom,Blackburn,NH,
1866,Newcastle,Middlesbrough,NH,
1867,Birmingham,Blackburn,H,
1868,Bolton,Chelsea,NH,
1869,Fulham,Everton,H,
1870,Liverpool,Middlesbrough,NH,
1871,Man City,Portsmouth,H,
1872,Newcastle,Crystal Palace,NH,
1873,Southampton,Norwich,H,
1874,Charlton,Man United,NH,
1875,Tottenham,Aston Villa,H,
1876,West Brom,Arsenal,NH,
1877,Fulham,Newcastle,NH,
1878,Aston Villa,Man City,NH,
1879,Blackburn,Fulham,NH,
1880,Chelsea,Charlton,H,
1881,Crystal Palace,Southampton,NH,
1882,Everton,Newcastle,H,
1883,Man United,West Brom,NH,
1884,Middlesbrough,Tottenham,H,
1885,Norwich,Birmingham,H,
1886,Portsmouth,Bolton,NH,
1887,Arsenal,Liverpool,H,
1888,Man United,Chelsea,NH,
1889,Arsenal,Everton,H,
1890,Birmingham,Arsenal,H,
1891,Bolton,Everton,H,
1892,Charlton,Crystal Palace,NH,
1893,Fulham,Norwich,H,
1894,Liverpool,Aston Villa,H,
1895,Man City,Middlesbrough,NH,
1896,Newcastle,Chelsea,NH,
1897,Southampton,Man United,NH,
1898,Tottenham,Blackburn,NH,
1899,West Brom,Portsmouth,H,
1900,Aston Villa,Bolton,NH,
1901,Everton,Man United,NH,
1902,Fulham,Birmingham,NH,
1903,Man City,West Brom,NH,
1904,Middlesbrough,Liverpool,NH,
1905,Portsmouth,Tottenham,NH,
1906,Sunderland,Charlton,NH,
1907,West Ham,Blackburn,H,
1908,Arsenal,Newcastle,H,
1909,Wigan,Chelsea,NH,
1910,Birmingham,Man City,NH,
1911,Blackburn,Fulham,H,
1912,Charlton,Wigan,H,
1913,Liverpool,Sunderland,H,
1914,Man United,Aston Villa,H,
1915,Newcastle,West Ham,NH,
1916,Tottenham,Middlesbrough,H,
1917,West Brom,Portsmouth,H,
1918,Bolton,Everton,NH,
1919,Chelsea,Arsenal,H,
1920,Birmingham,Middlesbrough,NH,
1921,Portsmouth,Aston Villa,NH,
1922,Sunderland,Man City,NH,
1923,Arsenal,Fulham,H,
1924,Blackburn,Tottenham,NH,
1925,Bolton,Newcastle,H,
1926,Chelsea,West Brom,H,
1927,Aston Villa,Blackburn,H,
1928,Fulham,Everton,H,
1929,Man City,Portsmouth,H,
1930,Tottenham,Chelsea,NH,
1931,West Brom,Birmingham,NH,
1932,West Ham,Bolton,NH,
1933,Wigan,Sunderland,H,
1934,Middlesbrough,Charlton,NH,
1935,Newcastle,Man United,NH,
1936,Birmingham,Charlton,NH,
1937,Chelsea,Sunderland,H,
1938,Everton,Portsmouth,NH,
1939,Man United,Man City,NH,
1940,Middlesbrough,Arsenal,H,
1941,Newcastle,Fulham,NH,
1942,Tottenham,Liverpool,NH,
1943,West Brom,Wigan,NH,
1944,Bolton,Blackburn,NH,
1945,West Ham,Aston Villa,H,
1946,Aston Villa,Tottenham,NH,
1947,Charlton,Chelsea,NH,
1948,Fulham,West Ham,NH,
1949,Portsmouth,Birmingham,NH,
1950,Sunderland,West Brom,NH,
1951,Blackburn,Newcastle,NH,
1952,Liverpool,Man United,NH,
1953,Man City,Bolton,NH,
1954,Wigan,Middlesbrough,NH,
1955,Arsenal,Everton,H,
1956,Birmingham,Liverpool,NH,
1957,Bolton,Portsmouth,H,
1958,Chelsea,Aston Villa,H,
1959,Everton,Wigan,NH,
1960,Man United,Blackburn,NH,
1961,Newcastle,Man City,H,
1962,West Brom,Charlton,NH,
1963,West Ham,Arsenal,NH,
1964,Middlesbrough,Sunderland,NH,
1965,Tottenham,Fulham,H,
1966,Blackburn,West Brom,H,
1967,Charlton,Tottenham,NH,
1968,Fulham,Man United,NH,
1969,Portsmouth,Newcastle,NH,
1970,Sunderland,West Ham,NH,
1971,Arsenal,Birmingham,H,
1972,Aston Villa,Middlesbrough,NH,
1973,Liverpool,Chelsea,NH,
1974,Man City,Everton,H,
1975,Wigan,Bolton,H,
1976,Chelsea,Bolton,H,
1977,Liverpool,Blackburn,H,
1978,Middlesbrough,Portsmouth,NH,
1979,Sunderland,Man United,NH,
1980,Tottenham,Everton,H,
1981,West Brom,Arsenal,H,
1982,Wigan,Newcastle,H,
1983,Birmingham,Aston Villa,NH,
1984,Man City,West Ham,H,
1985,Charlton,Fulham,NH,
1986,Arsenal,Man City,H,
1987,Aston Villa,Wigan,NH,
1988,Blackburn,Birmingham,H,
1989,Fulham,Liverpool,H,
1990,Man United,Tottenham,NH,
1991,Portsmouth,Charlton,NH,
1992,Bolton,West Brom,H,
1993,Everton,Chelsea,NH,
1994,Newcastle,Sunderland,H,
1995,West Ham,Middlesbrough,H,
1996,Birmingham,Everton,NH,
1997,Charlton,Bolton,NH,
1998,Chelsea,Blackburn,H,
1999,Liverpool,West Ham,H,
2000,Middlesbrough,Man United,H,
2001,Sunderland,Portsmouth,NH,
2002,Tottenham,Arsenal,NH,
2003,Wigan,Fulham,H,
2004,West Brom,Newcastle,NH,
2005,Man City,Aston Villa,H,
2006,Arsenal,Sunderland,H,
2007,Aston Villa,Liverpool,NH,
2008,Blackburn,Charlton,H,
2009,Fulham,Man City,H,
2010,Newcastle,Birmingham,H,
2011,Portsmouth,Wigan,NH,
2012,West Ham,West Brom,H,
2013,Everton,Middlesbrough,H,
2014,Man United,Chelsea,H,
2015,Bolton,Tottenham,H,
2016,Charlton,Man United,NH,
2017,Chelsea,Newcastle,H,
2018,Liverpool,Portsmouth,H,
2019,Man City,Blackburn,NH,
2020,Sunderland,Aston Villa,NH,
2021,West Brom,Everton,H,
2022,Wigan,Arsenal,NH,
2023,Middlesbrough,Fulham,H,
2024,Tottenham,West Ham,NH,
2025,Arsenal,Blackburn,H,
2026,Aston Villa,Charlton,H,
2027,Man City,Liverpool,NH,
2028,Portsmouth,Chelsea,NH,
2029,Sunderland,Birmingham,NH,
2030,Wigan,Tottenham,NH,
2031,Everton,Newcastle,H,
2032,Fulham,Bolton,H,
2033,Middlesbrough,West Brom,NH,
2034,West Ham,Man United,NH,
2035,Sunderland,Liverpool,NH,
2036,Blackburn,Everton,NH,
2037,Bolton,Arsenal,H,
2038,Chelsea,Middlesbrough,H,
2039,Liverpool,Wigan,H,
2040,Man United,Portsmouth,H,
2041,Newcastle,Aston Villa,NH,
2042,Tottenham,Sunderland,H,
2043,West Brom,Fulham,NH,
2044,Charlton,Man City,NH,
2045,Birmingham,West Ham,NH,
2046,Birmingham,Fulham,H,
2047,Blackburn,West Ham,H,
2048,Bolton,Aston Villa,NH,
2049,Charlton,Sunderland,H,
2050,Chelsea,Wigan,H,
2051,Liverpool,Middlesbrough,H,
2052,Newcastle,Arsenal,H,
2053,West Brom,Man City,H,
2054,Man United,Everton,NH,
2055,Tottenham,Portsmouth,H,
2056,Everton,West Ham,NH,
2057,Man United,Wigan,H,
2058,Aston Villa,Man United,NH,
2059,Everton,Bolton,NH,
2060,Fulham,Blackburn,H,
2061,Man City,Birmingham,H,
2062,Portsmouth,West Brom,H,
2063,West Ham,Newcastle,NH,
2064,Wigan,Charlton,H,
2065,Arsenal,Chelsea,NH,
2066,Middlesbrough,Tottenham,NH,
2067,Aston Villa,Everton,H,
2068,Charlton,Arsenal,NH,
2069,Chelsea,Fulham,H,
2070,Liverpool,Newcastle,H,
2071,Man United,West Brom,H,
2072,Middlesbrough,Blackburn,NH,
2073,Portsmouth,West Ham,NH,
2074,Sunderland,Bolton,NH,
2075,Tottenham,Birmingham,H,
2076,Wigan,Man City,H,
2077,Arsenal,Portsmouth,H,
2078,Birmingham,Man United,NH,
2079,Everton,Liverpool,NH,
2080,Fulham,Aston Villa,NH,
2081,Man City,Chelsea,NH,
2082,West Brom,Tottenham,H,
2083,West Ham,Wigan,NH,
2084,Aston Villa,Arsenal,NH,
2085,Charlton,West Ham,H,
2086,Chelsea,Birmingham,H,
2087,Liverpool,West Brom,H,
2088,Man United,Bolton,H,
2089,Middlesbrough,Man City,NH,
2090,Portsmouth,Fulham,H,
2091,Sunderland,Everton,NH,
2092,Tottenham,Newcastle,H,
2093,Wigan,Blackburn,NH,
2094,Birmingham,Wigan,H,
2095,Blackburn,Portsmouth,H,
2096,Bolton,Liverpool,NH,
2097,Everton,Charlton,H,
2098,Fulham,Sunderland,H,
2099,Newcastle,Middlesbrough,NH,
2100,West Brom,Aston Villa,NH,
2101,West Ham,Chelsea,NH,
2102,Arsenal,Man United,NH,
2103,Man City,Tottenham,NH,
2104,Arsenal,Middlesbrough,H,
2105,Aston Villa,West Ham,NH,
2106,Blackburn,Bolton,NH,
2107,Charlton,Birmingham,H,
2108,Fulham,Newcastle,H,
2109,Liverpool,Tottenham,H,
2110,Man City,Man United,H,
2111,Portsmouth,Everton,NH,
2112,Sunderland,Chelsea,NH,
2113,Wigan,West Brom,NH,
2114,Birmingham,Portsmouth,H,
2115,Bolton,Man City,H,
2116,Everton,Arsenal,H,
2117,Middlesbrough,Wigan,NH,
2118,Newcastle,Blackburn,NH,
2119,Tottenham,Aston Villa,NH,
2120,West Brom,Sunderland,NH,
2121,Chelsea,Charlton,NH,
2122,Man United,Liverpool,H,
2123,West Ham,Fulham,H,
2124,Charlton,West Brom,NH,
2125,Fulham,Tottenham,H,
2126,Sunderland,Middlesbrough,NH,
2127,Wigan,Everton,NH,
2128,Arsenal,West Ham,NH,
2129,Aston Villa,Chelsea,NH,
2130,Blackburn,Man United,H,
2131,Liverpool,Birmingham,NH,
2132,Man City,Newcastle,H,
2133,Portsmouth,Bolton,NH,
2134,Birmingham,Arsenal,NH,
2135,Bolton,Wigan,NH,
2136,Everton,Man City,H,
2137,Man United,Fulham,H,
2138,Middlesbrough,Aston Villa,NH,
2139,Newcastle,Portsmouth,H,
2140,West Brom,Blackburn,H,
2141,West Ham,Sunderland,H,
2142,Chelsea,Liverpool,H,
2143,Tottenham,Charlton,H,
2144,Charlton,Liverpool,H,
2145,Arsenal,Bolton,NH,
2146,Aston Villa,Newcastle,NH,
2147,Everton,Blackburn,H,
2148,Fulham,West Brom,H,
2149,Middlesbrough,Chelsea,H,
2150,Portsmouth,Man United,NH,
2151,Wigan,Liverpool,NH,
2152,Man City,Charlton,H,
2153,Sunderland,Tottenham,NH,
2154,West Ham,Birmingham,H,
2155,Liverpool,Arsenal,H,
2156,Blackburn,Sunderland,H,
2157,Tottenham,Wigan,NH,
2158,Newcastle,Charlton,NH,
2159,Birmingham,Sunderland,H,
2160,Blackburn,Arsenal,H,
2161,Charlton,Aston Villa,NH,
2162,Chelsea,Portsmouth,H,
2163,Newcastle,Everton,H,
2164,Bolton,Fulham,H,
2165,Liverpool,Man City,H,
2166,West Brom,Middlesbrough,NH,
2167,Aston Villa,Portsmouth,H,
2168,Fulham,Arsenal,NH,
2169,Liverpool,Charlton,NH,
2170,Middlesbrough,Birmingham,H,
2171,Newcastle,Bolton,H,
2172,West Brom,Chelsea,NH,
2173,West Ham,Everton,NH,
2174,Man City,Sunderland,H,
2175,Tottenham,Blackburn,H,
2176,Wigan,Man United,NH,
2177,Birmingham,West Brom,NH,
2178,Blackburn,Aston Villa,H,
2179,Bolton,West Ham,H,
2180,Chelsea,Tottenham,H,
2181,Everton,Fulham,H,
2182,Portsmouth,Man City,H,
2183,Sunderland,Wigan,NH,
2184,Arsenal,Liverpool,H,
2185,Charlton,Middlesbrough,H,
2186,Man United,Newcastle,H,
2187,Liverpool,Fulham,H,
2188,Arsenal,Charlton,H,
2189,Birmingham,Tottenham,NH,
2190,Blackburn,Middlesbrough,H,
2191,Bolton,Sunderland,H,
2192,Everton,Aston Villa,H,
2193,Man City,Wigan,NH,
2194,West Brom,Man United,NH,
2195,West Ham,Portsmouth,NH,
2196,Fulham,Chelsea,H,
2197,Newcastle,Liverpool,NH,
2198,Aston Villa,Fulham,NH,
2199,Chelsea,Man City,H,
2200,Liverpool,Everton,H,
2201,Sunderland,Blackburn,NH,
2202,Wigan,West Ham,NH,
2203,Charlton,Newcastle,H,
2204,Man United,Birmingham,H,
2205,Middlesbrough,Bolton,H,
2206,Tottenham,West Brom,H,
2207,Man United,West Ham,H,
2208,Arsenal,Aston Villa,H,
2209,Birmingham,Chelsea,NH,
2210,Bolton,Man United,NH,
2211,Everton,Sunderland,NH,
2212,Fulham,Portsmouth,NH,
2213,Newcastle,Tottenham,H,
2214,West Brom,Liverpool,NH,
2215,Man City,Middlesbrough,NH,
2216,West Ham,Charlton,NH,
2217,Blackburn,Wigan,NH,
2218,Birmingham,Bolton,H,
2219,Charlton,Everton,NH,
2220,Portsmouth,Blackburn,NH,
2221,Tottenham,Man City,H,
2222,Wigan,Birmingham,NH,
2223,Aston Villa,West Brom,NH,
2224,Chelsea,West Ham,H,
2225,Liverpool,Bolton,H,
2226,Man United,Arsenal,H,
2227,Middlesbrough,Newcastle,NH,
2228,Portsmouth,Arsenal,NH,
2229,Man United,Sunderland,NH,
2230,Arsenal,West Brom,H,
2231,Bolton,Chelsea,NH,
2232,Everton,Tottenham,NH,
2233,Fulham,Charlton,H,
2234,Newcastle,Wigan,H,
2235,Portsmouth,Middlesbrough,H,
2236,West Ham,Man City,H,
2237,Aston Villa,Birmingham,H,
2238,Blackburn,Liverpool,NH,
2239,Charlton,Portsmouth,H,
2240,Chelsea,Everton,H,
2241,Middlesbrough,West Ham,H,
2242,Sunderland,Newcastle,NH,
2243,Tottenham,Man United,NH,
2244,West Brom,Bolton,NH,
2245,Wigan,Aston Villa,H,
2246,Birmingham,Blackburn,H,
2247,Arsenal,Tottenham,NH,
2248,Bolton,Charlton,H,
2249,Everton,Birmingham,NH,
2250,Newcastle,West Brom,H,
2251,Portsmouth,Sunderland,H,
2252,Fulham,Wigan,H,
2253,Aston Villa,Man City,NH,
2254,West Ham,Liverpool,NH,
2255,Birmingham,Newcastle,NH,
2256,Charlton,Blackburn,NH,
2257,Chelsea,Man United,H,
2258,Liverpool,Aston Villa,H,
2259,Man City,Fulham,NH,
2260,Middlesbrough,Everton,NH,
2261,Wigan,Portsmouth,NH,
2262,Tottenham,Bolton,H,
2263,Man United,Middlesbrough,NH,
2264,Sunderland,Arsenal,NH,
2265,West Brom,West Ham,NH,
2266,Blackburn,Chelsea,H,
2267,Bolton,Middlesbrough,NH,
2268,Man City,Arsenal,NH,
2269,Sunderland,Fulham,H,
2270,Arsenal,Wigan,H,
2271,Aston Villa,Sunderland,H,
2272,Blackburn,Man City,H,
2273,Bolton,Birmingham,H,
2274,Everton,West Brom,NH,
2275,Fulham,Middlesbrough,H,
2276,Man United,Charlton,H,
2277,Newcastle,Chelsea,H,
2278,Portsmouth,Liverpool,NH,
2279,West Ham,Tottenham,H,
2280,Arsenal,Aston Villa,NH,
2281,Bolton,Tottenham,H,
2282,Everton,Watford,H,
2283,Newcastle,Wigan,H,
2284,Portsmouth,Blackburn,H,
2285,Reading,Middlesbrough,H,
2286,Sheffield United,Liverpool,NH,
2287,West Ham,Charlton,H,
2288,Chelsea,Man City,H,
2289,Man United,Fulham,H,
2290,Tottenham,Sheffield United,H,
2291,Watford,West Ham,NH,
2292,Aston Villa,Reading,H,
2293,Blackburn,Everton,NH,
2294,Charlton,Man United,NH,
2295,Fulham,Bolton,NH,
2296,Man City,Portsmouth,NH,
2297,Middlesbrough,Chelsea,H,
2298,Charlton,Bolton,H,
2299,Fulham,Sheffield United,H,
2300,Liverpool,West Ham,H,
2301,Man City,Arsenal,H,
2302,Tottenham,Everton,NH,
2303,Watford,Man United,NH,
2304,Wigan,Reading,H,
2305,Aston Villa,Newcastle,H,
2306,Blackburn,Chelsea,NH,
2307,Middlesbrough,Portsmouth,NH,
2308,Arsenal,Middlesbrough,NH,
2309,Bolton,Watford,H,
2310,Chelsea,Charlton,H,
2311,Everton,Liverpool,H,
2312,Man United,Tottenham,H,
2313,Newcastle,Fulham,NH,
2314,Portsmouth,Wigan,H,
2315,Sheffield United,Blackburn,NH,
2316,West Ham,Aston Villa,NH,
2317,Reading,Man City,H,
2318,Bolton,Middlesbrough,NH,
2319,Charlton,Portsmouth,NH,
2320,Everton,Wigan,NH,
2321,Sheffield United,Reading,NH,
2322,Watford,Aston Villa,NH,
2323,Blackburn,Man City,H,
2324,Chelsea,Liverpool,H,
2325,Man United,Arsenal,NH,
2326,Tottenham,Fulham,NH,
2327,West Ham,Newcastle,NH,
2328,Liverpool,Newcastle,H,
2329,Arsenal,Sheffield United,H,
2330,Aston Villa,Charlton,H,
2331,Fulham,Chelsea,NH,
2332,Liverpool,Tottenham,H,
2333,Man City,West Ham,H,
2334,Middlesbrough,Blackburn,NH,
2335,Reading,Man United,NH,
2336,Wigan,Watford,NH,
2337,Newcastle,Everton,NH,
2338,Portsmouth,Bolton,NH,
2339,Bolton,Liverpool,H,
2340,Charlton,Arsenal,NH,
2341,Chelsea,Aston Villa,NH,
2342,Everton,Man City,NH,
2343,Sheffield United,Middlesbrough,H,
2344,Blackburn,Wigan,H,
2345,Man United,Newcastle,H,
2346,Tottenham,Portsmouth,H,
2347,West Ham,Reading,NH,
2348,Watford,Fulham,NH,
2349,Arsenal,Watford,H,
2350,Aston Villa,Tottenham,NH,
2351,Liverpool,Blackburn,NH,
2352,Man City,Sheffield United,NH,
2353,Middlesbrough,Everton,H,
2354,Portsmouth,West Ham,H,
2355,Reading,Chelsea,NH,
2356,Wigan,Man United,NH,
2357,Newcastle,Bolton,NH,
2358,Fulham,Charlton,H,
2359,Aston Villa,Fulham,NH,
2360,Charlton,Watford,NH,
2361,Chelsea,Portsmouth,H,
2362,Everton,Sheffield United,H,
2363,Wigan,Man City,H,
2364,Blackburn,Bolton,NH,
2365,Man United,Liverpool,H,
2366,Middlesbrough,Newcastle,H,
2367,Reading,Arsenal,NH,
2368,Tottenham,West Ham,H,
2369,Arsenal,Everton,NH,
2370,Bolton,Man United,NH,
2371,Fulham,Wigan,NH,
2372,Liverpool,Aston Villa,H,
2373,Newcastle,Charlton,NH,
2374,Portsmouth,Reading,H,
2375,Sheffield United,Chelsea,NH,
2376,Watford,Tottenham,NH,
2377,West Ham,Blackburn,H,
2378,Man City,Middlesbrough,H,
2379,Bolton,Wigan,NH,
2380,Charlton,Man City,H,
2381,Fulham,Everton,H,
2382,Liverpool,Reading,H,
2383,Man United,Portsmouth,H,
2384,Newcastle,Sheffield United,NH,
2385,Watford,Middlesbrough,H,
2386,Aston Villa,Blackburn,H,
2387,Tottenham,Chelsea,H,
2388,West Ham,Arsenal,H,
2389,Blackburn,Man United,NH,
2390,Chelsea,Watford,H,
2391,Everton,Aston Villa,NH,
2392,Man City,Newcastle,NH,
2393,Middlesbrough,West Ham,H,
2394,Portsmouth,Fulham,NH,
2395,Sheffield United,Bolton,NH,
2396,Wigan,Charlton,H,
2397,Arsenal,Liverpool,H,
2398,Reading,Tottenham,H,
2399,Arsenal,Newcastle,NH,
2400,Chelsea,West Ham,H,
2401,Everton,Bolton,H,
2402,Man City,Fulham,H,
2403,Middlesbrough,Liverpool,NH,
2404,Portsmouth,Watford,H,
2405,Reading,Charlton,H,
2406,Sheffield United,Man United,NH,
2407,Blackburn,Tottenham,NH,
2408,Wigan,Aston Villa,NH,
2409,Aston Villa,Middlesbrough,NH,
